t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1574464935,4475,4,1.880000,1,0.665833,2.000000,2.000000,3.700000,4.000000,4.000000,4.000000
1574464936,4500,2,1.640000,1,0.489898,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464937,4525,6,2.400000,2,0.912871,2.000000,2.500000,5.400000,6.000000,6.000000,6.000000
1574464938,4549,22,2.583333,1,4.169419,2.000000,2.000000,17.250000,22.000000,22.000000,22.000000
1574464939,4574,3,1.960000,1,0.538516,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464940,4599,9,2.360000,1,1.496663,2.000000,2.500000,7.200000,9.000000,9.000000,9.000000
1574464941,4624,4,2.480000,1,0.653197,2.000000,3.000000,3.700000,4.000000,4.000000,4.000000
1574464942,4648,9,2.291667,1,1.545798,2.000000,2.000000,7.500000,9.000000,9.000000,9.000000
1574464943,4673,9,2.400000,1,1.500000,2.000000,3.000000,7.200000,9.000000,9.000000,9.000000
1574464944,4698,3,2.080000,1,0.571548,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464945,4723,3,1.880000,1,0.600000,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464946,4747,11,2.250000,1,1.916745,2.000000,2.000000,9.000000,11.000000,11.000000,11.000000
1574464947,4772,3,2.000000,1,0.500000,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464948,4797,11,2.240000,1,1.877054,2.000000,2.000000,8.600000,11.000000,11.000000,11.000000
1574464949,4822,10,1.960000,1,1.743560,2.000000,2.000000,7.600000,10.000000,10.000000,10.000000
1574464950,4846,2,1.416667,1,0.503610,1.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464951,4871,12,2.120000,1,2.107922,2.000000,2.000000,9.000000,12.000000,12.000000,12.000000
1574464952,4896,4,2.720000,1,0.842615,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464953,4921,6,2.720000,2,0.979796,2.000000,3.000000,5.400000,6.000000,6.000000,6.000000
1574464954,4945,32,2.958333,1,6.209944,2.000000,2.000000,24.750000,32.000000,32.000000,32.000000
1574464955,4970,5,2.600000,1,1.040833,3.000000,3.000000,4.700000,5.000000,5.000000,5.000000
1574464956,4995,3,1.720000,1,0.541603,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464957,5020,8,2.680000,2,1.281926,2.000000,3.000000,6.800000,8.000000,8.000000,8.000000
1574464958,5044,2,1.541667,1,0.508977,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464959,5069,22,2.680000,1,4.069398,2.000000,2.000000,16.600000,22.000000,22.000000,22.000000
1574464960,5094,3,1.640000,1,0.568624,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464961,5119,12,2.280000,1,2.092048,2.000000,2.000000,9.300000,12.000000,12.000000,12.000000
1574464962,5143,11,2.166667,1,1.970801,2.000000,2.000000,9.000000,11.000000,11.000000,11.000000
1574464963,5168,4,2.520000,1,0.653197,3.000000,3.000000,3.700000,4.000000,4.000000,4.000000
1574464964,5193,8,1.960000,1,1.368698,2.000000,2.000000,6.500000,8.000000,8.000000,8.000000
1574464965,5218,11,2.400000,1,1.870829,2.000000,2.000000,8.600000,11.000000,11.000000,11.000000
1574464966,5242,2,1.916667,1,0.282330,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
1574464967,5267,8,1.880000,1,1.363818,2.000000,2.000000,6.200000,8.000000,8.000000,8.000000
1574464968,5292,3,1.800000,1,0.500000,2.000000,2.000000,2.700000,3.000000,3.000000,3.000000
1574464969,5317,4,2.040000,1,0.611010,2.000000,2.000000,3.700000,4.000000,4.000000,4.000000
1574464970,5341,10,2.375000,1,1.689160,2.000000,2.000000,8.250000,10.000000,10.000000,10.000000
1574464971,5366,4,2.640000,2,0.700000,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464972,5391,24,3.480000,1,4.398106,3.000000,3.000000,18.300000,24.000000,24.000000,24.000000
1574464973,5416,5,3.200000,1,1.000000,3.000000,4.000000,5.000000,5.000000,5.000000,5.000000
1574464974,5440,4,2.958333,2,0.624094,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464975,5465,3,2.000000,1,0.577350,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574464976,5490,3,2.080000,1,0.759386,2.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574464977,5515,15,2.120000,1,2.728247,2.000000,2.000000,11.100000,15.000000,15.000000,15.000000
1574464978,5539,4,2.333333,1,0.816497,2.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464979,5564,15,2.520000,1,2.647640,2.000000,2.000000,11.400000,15.000000,15.000000,15.000000
1574464980,5589,8,2.720000,1,1.429452,3.000000,3.000000,6.800000,8.000000,8.000000,8.000000
1574464981,5614,5,3.080000,1,0.996661,3.000000,4.000000,4.700000,5.000000,5.000000,5.000000
1574464982,5638,9,1.958333,1,1.627993,2.000000,2.000000,7.500000,9.000000,9.000000,9.000000
1574464983,5663,14,2.440000,1,2.583280,2.000000,2.000000,11.000000,14.000000,14.000000,14.000000
1574464984,5688,4,2.640000,1,0.757188,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464985,5713,6,3.800000,2,0.866025,4.000000,4.000000,5.700000,6.000000,6.000000,6.000000
1574464986,5737,4,2.416667,1,0.717282,2.000000,3.000000,3.750000,4.000000,4.000000,4.000000
1574464987,5762,15,2.080000,1,2.752575,2.000000,2.000000,11.400000,15.000000,15.000000,15.000000
1574464988,5787,4,2.240000,1,0.879394,2.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464989,5812,8,2.120000,1,1.332917,2.000000,2.000000,6.500000,8.000000,8.000000,8.000000
1574464990,5836,14,3.333333,2,2.315668,3.000000,3.000000,11.500000,14.000000,14.000000,14.000000
